Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],AnyFall,NegOutcome
-0.36981198,-0.13609402,0.5645984,0,1
-0.3079491,0.06949437,0.66896796,0,1
-0.09373828,0.27243537,0.8524691,0,1
-0.004119538,0.14986436,0.8077811,0,1
0.03660974,-0.21492189,0.5018967,0,1
0.006252889,-0.19676967,0.42991602,0,1
-0.00041227,0.18008146,0.42384398,0,1
-0.14233366,0.54688376,0.5302771,0,1
-0.2603172,0.6846324,0.5175805,0,1
-0.27833936,1.2793896,0.5333157,0,1
-0.065779276,1.5900434,0.6306688,0,1
0.5801481,2.372644,1.2218306,0,1
0.67574704,2.1848855,1.6906269,0,1
0.7068209,1.884977,1.8934208,0,1
1.3607585,0.84725916,2.5895922,0,1
1.4129995,0.057733074,2.57589,0,1
0.8231305,-0.96744806,1.5995224,0,1
0.5120932,-0.83665663,0.2177941,0,1
0.24990585,-1.0618594,-0.36051285,0,1
-0.54860014,-2.6127906,-1.1825979,0,1
-0.724155,-3.0388362,-1.5362213,0,1
-0.6460273,-2.271727,-1.7299187,0,1
-0.07152134,-0.40604523,-1.139742,0,1
0.11224987,0.1482972,-0.7156871,0,1
-0.007354152,0.36172962,-0.19696231,0,1
-0.064848065,0.26675224,-0.23409802,0,1
-0.11115287,-0.05833829,-0.643724,0,1
-0.15294868,-0.16681786,-1.0278926,0,1
-0.20437807,-0.18817925,-1.1683339,0,1
-0.27416012,-0.26966023,-1.1820396,0,1
-0.27389783,-0.34454176,-1.0312531,0,1
-0.20439255,-0.24517837,-0.62525403,0,1
-0.11422373,0.2664556,-0.4276771,0,1
-0.08052417,0.37167257,-0.41947532,0,1
0.044209987,0.18352027,-0.31094325,0,1
0.065346494,0.000164002,-0.1763613,0,1
0.046659492,-0.28073406,0.1479146,0,1
0.19716154,-0.12479013,0.38295674,0,1
0.27067295,0.18830308,0.3137043,0,1
0.1510518,0.4928332,-0.050498195,0,1
-0.000590671,0.24256994,-0.07875347,0,1
-0.19973789,-0.23212816,0.06624216,0,1
-0.12980372,-0.056982018,0.17266333,0,1
-0.077282876,0.019961424,0.37096345,0,1
-0.07635322,0.001501235,0.858139,0,1
-0.10812998,-0.050489273,0.9042858,0,1
-0.14803407,-0.093341716,0.6721586,0,1
-0.15711491,0.06913385,0.47878638,0,1
-0.17358878,0.08444126,0.3878878,0,1
-0.16739944,-0.07909297,0.119169325,0,1
-0.1418766,-0.10559942,0.008563492,0,1
0.02200427,-0.07867433,-0.037785575,0,1
0.022254182,0.03571225,0.01081878,0,1
0.007898335,0.05572606,-0.004296017,0,1
0.018078893,0.04329872,-0.02420688,0,1
0.040122066,0.056073196,0.002377739,0,1
0.055536453,0.06478693,0.0745486,0,1
0.036690146,-0.008789043,0.11217997,0,1
0.023148123,-0.028965933,0.1128073,0,1
-0.042725742,0.007381461,0.12220235,0,1
-0.07095328,0.034464866,0.16245231,0,1
