, ms_accelerometer_x, ms_accelerometer_y, ms_accelerometer_z,outcome
0,-0.663086,0.43798828,-0.6359864,0
1,-0.6533203,0.40966797,-0.6262207,0
2,-0.64819336,0.38623047,-0.6298828,0
3,-0.6633301,0.4289551,-0.66821295,0
4,-0.673584,0.4116211,-0.6689454,0
5,-0.68139654,0.4157715,-0.6357422,0
6,-0.6733399,0.43701175,-0.6264649,0
7,-0.6801758,0.42944336,-0.61401373,0
8,-0.6855469,0.43481448,-0.6245117,0
9,-0.6804199,0.46679688,-0.65136725,0
10,-0.6669922,0.425293,-0.63159186,0
11,-0.6687012,0.42138672,-0.63525397,0
12,-0.6696778,0.42333984,-0.6389161,0
13,-0.66528326,0.41943362,-0.6364746,0
14,-0.66503906,0.41430667,-0.6340332,0
15,-0.6635742,0.41748047,-0.64819336,0
16,-0.66186523,0.4111328,-0.6435547,0
17,-0.6591797,0.421875,-0.64501953,0
18,-0.6591797,0.421875,-0.64501953,0
19,-0.6687012,0.41479492,-0.64868164,0
20,-0.6699219,0.40771487,-0.64282227,0
21,-0.6699219,0.40600586,-0.6499024,0
22,-0.67211914,0.40893555,-0.6398926,0
23,-0.6772461,0.39672855,-0.6403809,0
24,-0.6760254,0.39916992,-0.6469727,0
25,-0.6657715,0.38452148,-0.6293946,0
26,-0.67187506,0.3803711,-0.6386719,0
27,-0.6694336,0.37988284,-0.64941406,0
28,-0.6713867,0.40429688,-0.65869147,0
29,-0.6665039,0.4038086,-0.6538086,0
30,-0.6647949,0.39868164,-0.6557618,0
31,-0.6501465,0.39916992,-0.6657715,0
32,-0.65795904,0.41381836,-0.67211914,0
33,-0.65795904,0.41381836,-0.67211914,0
34,-0.65600586,0.41235352,-0.6726075,0
35,-0.65600586,0.41235352,-0.6726075,0
36,-0.65502936,0.4243164,-0.6669922,0
37,-0.65502936,0.4243164,-0.6669922,0
38,-0.6496582,0.40795898,-0.67187506,0
39,-0.6496582,0.40795898,-0.67187506,0
40,-0.64868164,0.42285156,-0.6674805,0
41,-0.6765137,0.42138672,-0.6796875,0
42,-0.6723633,0.42456058,-0.67846686,0
43,-0.6723633,0.42456058,-0.67846686,0
44,-0.6723633,0.42456058,-0.67846686,0
45,-0.6723633,0.42456058,-0.67846686,0
46,-0.6723633,0.42456058,-0.67846686,0
47,-0.66137695,0.43261722,-0.640625,0
48,-0.66137695,0.43261722,-0.640625,0
49,-0.66796875,0.4047852,-0.56396484,0
50,-0.6640625,0.3046875,-0.63818365,0
51,-0.65405273,0.29345703,-0.64941406,0
52,-0.6206055,0.37719727,-0.69799805,0
53,-0.5402832,0.41284183,-0.78271484,0
54,-0.51782227,0.50268555,-0.8271485,0
55,-0.5185547,0.5488281,-0.8449707,0
56,-0.54663086,0.345459,-0.8779297,0
57,-0.63427734,0.23510742,-0.8139649,0
58,-0.56030273,0.18945312,-0.65771484,0
59,-0.5461426,0.18115236,-0.71118164,0
60,-0.5488281,0.25463867,-0.77783203,0
61,-0.56469727,0.31909183,-0.7734375,0
62,-0.62109375,0.2578125,-0.7922363,0
63,-0.62109375,0.2578125,-0.7922363,0
64,-0.6635742,0.23950195,-0.8378906,0
65,-0.6101074,0.20751955,-0.84277344,0
66,-0.6437988,0.15698244,-0.8513184,0
67,-0.6459961,0.16625977,-0.7998047,0
68,-0.54174805,0.16381836,-0.7529297,0
69,-0.53222656,0.18115236,-0.76928717,0
70,-0.5341797,0.21850587,-0.782959,0
71,-0.5239258,0.23168947,-0.828125,0
72,-0.51660156,0.24829102,-0.84716797,0
73,-0.52368164,0.2841797,-0.84887695,0
74,-0.517334,0.24291992,-0.8120117,0
75,-0.5625,0.32080078,-0.7939453,0
76,-0.6472168,0.26391602,-0.7795411,0
77,-0.72900397,0.14404297,-0.8737793,0
78,-0.73217773,0.13354492,-0.9020996,0
79,-0.63085943,0.12768555,-0.7612305,0
80,-0.6528321,0.05419922,-0.6901856,0
81,-0.7670899,-0.014404297,-0.6882324,0
82,-0.8264161,-0.08496094,-0.6699219,0
83,-0.9106446,-0.099609375,-0.72460943,0
84,-0.92578125,-0.115722656,-0.8574219,0
85,-0.6838379,-0.020263674,-0.91845703,0
86,-0.5031738,-0.030273438,-0.850586,0
87,-0.49291992,-0.006591797,-0.8112793,0
88,-0.51464844,0.04248047,-0.7416992,0
89,-0.50097656,-0.010253906,-0.76464844,0
90,-0.44262695,-0.04663086,-0.7402344,0
91,-0.44433597,-0.010986328,-0.71484375,0
92,-0.47045898,-0.05834961,-0.642334,0
